"SEQ_ITEM","PORT_CODE","BRANCH","CONTNO","NOPOL","BLOK","SLOT","ROW","TIER","CONTSIZE","CONTTYPE","CONTOWNER","CONTSTATUS","PRINCIPAL","DG_FLAG","HOLD_FLAG","DMG_FLAG","OD_FLAG","FREEUSED_FLAG","FULLMT","SEALNO","WEIGHT","CMDTY_CODE","CMDTY_DESC","VESSEL_VOYAGE","POL","POT","POD","BGKNO","BLNO","DWINO","RESERVE_FIELD","MOVE_TIME","REPO_TIME","VESSEL_OPERATOR","CONT_GRADE","FORM_ID","DOC_ID","KADE","CREATEDON","CREATEDBY","MODIFIEDBY","MODIFIEDON"
790,IDJKT,JKT74,MRLU2376493,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781006400",,,,770,"39893","219",,,,
1012,IDJKT,JKT64,MRTU2032835,"5","1b",,,,"20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781025120",,,,770,"39931","218",,,,
1013,IDJKT,JKT64,MRTU2173176,"7","1b",,,,"20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781025180",,,,770,"39931","218",,,,
1014,IDJKT,JKT64,MRTU2254880,"6","1b",,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781025240",,,,770,"39931","218",,,,
1015,IDJKT,JKT64,MRTU2163769,"6","1b",,,,"20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781025240",,,,770,"39931","218",,,,
1016,IDJKT,JKT64,MRTU2100190,Wbi,,,,,"20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781025300",,,,770,"39931","218",,,,
1020,IDJKT,JKT64,DFSU3193653,"6","1b",,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042160",,,,770,"39931","218",,,,
1021,IDJKT,JKT64,MRTU2112041,"6","1b",,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042160",,,,770,"39931","218",,,,
1023,IDJKT,JKT64,MRTU2308456,"5","1b",,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781043660",,,,770,"39931","218",,,,
1024,IDJKT,JKT64,MRTU2223770,"6","1b",,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781043660",,,,770,"39931","218",,,,
1025,IDJKT,JKT64,MRTU2247514,"5","1b",,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781044200",,,,770,"39931","218",,,,
1026,IDJKT,JKT64,MRTU2195684,"6","1b",,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781044260",,,,770,"39931","218",,,,
1027,IDJKT,JKT64,MRTU2298770,"6","1b",,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781044320",,,,770,"39931","218",,,,
1028,IDJKT,JKT64,DFSU3189843,"5","1b",,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781044380",,,,770,"39931","218",,,,
1029,IDJKT,JKT64,SEKU9432858,"6","1b",,,,"40",RF,,,,,,,,,F,,,,,,,,,,,,,"1781047380",,,,770,"39931","218",,,,
1033,IDJKT,JKT74,MRTU2178706,,B,"6",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781037540",,,,770,"39909",Cy219,,,,
1034,IDJKT,JKT74,MRTU2123600,,B,"6",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781037540",,,,770,"39909",Cy219,,,,
1035,IDJKT,JKT74,MRTU2021276,,B,"6",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781037540",,,,770,"39909",Cy219,,,,
1036,IDJKT,JKT74,MRTU2041415,,B,"6",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781037600",,,,770,"39909",Cy219,,,,
1037,IDJKT,JKT74,MRLU2372142,,B,"8",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781038860",,,,770,"39909",Cy219,,,,
1038,IDJKT,JKT74,MRTU2195452,,B,"6",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781038920",,,,770,"39909",Cy219,,,,
1039,IDJKT,JKT74,MRTU2302226,,B,"6",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781038980",,,,770,"39909",Cy219,,,,
1040,IDJKT,JKT74,MRTU2045581,,B,"6",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781038980",,,,770,"39909",Cy219,,,,
1041,IDJKT,JKT74,MRLU2387878,,B,"6",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781038980",,,,770,"39909",Cy219,,,,
1042,IDJKT,JKT74,AXIU2012516,,B,"6",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781039040",,,,770,"39909",Cy219,,,,
1043,IDJKT,JKT74,MRLU2344330,,B,"6",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781039100",,,,770,"39909",Cy219,,,,
1052,IDJKT,JKT74,TLLU2302372,,C,"9",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042100",,,,770,"39909",Cy219,,,,
1053,IDJKT,JKT74,HPCU2228850,,C,"9",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042100",,,,770,"39909",Cy219,,,,
1054,IDJKT,JKT74,MRLU2380765,,C,"9",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042160",,,,770,"39909",Cy219,,,,
1055,IDJKT,JKT74,MRLU2350591,,C,"9",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042220",,,,770,"39909",Cy219,,,,
1056,IDJKT,JKT74,MRTU2213221,,C,"9",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042640",,,,770,"39909",Cy219,,,,
1057,IDJKT,JKT74,MRTU2229151,,C,"9",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042700",,,,770,"39909",Cy219,,,,
1058,IDJKT,JKT74,MRTU2046382,,C,"9",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042700",,,,770,"39909",Cy219,,,,
1059,IDJKT,JKT74,MRLU2358761,,C,"9",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042760",,,,770,"39909",Cy219,,,,
1060,IDJKT,JKT74,FCIU6080467,,C,"9",,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042760",,,,770,"39909",Cy219,,,,
1061,IDJKT,JKT74,MRTU2056014,,C,"91",,,"40",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042820",,,,770,"39909",Cy219,,,,
1062,IDJKT,JKT64,TRHU3370944,HT01,"3A","16","6","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781036160",,,,770,"39912","218",,,,
1063,IDJKT,JKT64,MRTU2224951,HT01,"3A","16","6","5","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781036220",,,,770,"39912","218",,,,
1064,IDJKT,JKT64,MRLU2363480,HT03,"3A","16","2","1","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781036580",,,,770,"39912","218",,,,
1066,IDJKT,JKT64,MRTU2167358,HT20,"2A","7","4","3","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781042340",,,,770,"39932","218",,,,
1067,IDJKT,JKT64,MRTU2111111,Ht20,"2A","7","4","4","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781043120",,,,770,"39932","218",,,,
1068,IDJKT,JKT64,MRTU2195719,Ht01,"2A","1","5","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781043780",,,,770,"39932","218",,,,
1069,IDJKT,JKT64,DFSU3191877,Ht01,"2A","1","5","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781043840",,,,770,"39932","218",,,,
1070,IDJKT,JKT64,MRTU2219132,Ht12,"2a","1","1","1","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781046840",,,,770,"39932","218",,,,
1071,IDJKT,JKT64,MRTU2124398,Ht14,"2A","1","1","2","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781046900",,,,770,"39932","218",,,,
1073,IDJKT,JKT64,HPCU4315336,Ht12,"2A","14","6","1","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1781048160",,,,770,"39932","218",,,,
1074,IDJKT,JKT64,TXGU4074524,Ht30,"3a","36","3","1","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781022060",,,,770,"39905","218",,,,
1075,IDJKT,JKT64,UETU7504392,Ht25,"3a","36","3","2","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781022120",,,,770,"39905","218",,,,
1076,IDJKT,JKT64,MRTU9604866,Ht23,"3a","36","3","3","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781022180",,,,770,"39905","218",,,,
1077,IDJKT,JKT64,TXGU8325546,Ht28,"3a","40","6","5","40",HC,,,,,,,,,E,,,,,,,,,,,,,"1781022240",,,,770,"39905","218",,,,
1078,IDJKT,JKT64,MRTU2016623,Ht26,"3a","23","1","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781022840",,,,770,"39905","218",,,,
1079,IDJKT,JKT64,MRTU2004833,Ht26,"3a","23","1","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781022900",,,,770,"39905","218",,,,
1080,IDJKT,JKT64,MRLU2363639,Ht01,"3a","25","3","1","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781035080",,,,770,"39905","218",,,,
1084,IDJKT,JKT64,DFSU3191671,Ht07,"3a","25","3","3","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781037900",,,,770,"39905","218",,,,
1085,IDJKT,JKT64,HPCU2223992,Ht07,"3a","25","3","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781037960",,,,770,"39905","218",,,,
1086,IDJKT,JKT64,MRTU2246502,HT04,"3a","28","1","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042520",,,,770,"39905","218",,,,
1087,IDJKT,JKT64,MRTU2228751,Ht04,"3a","28","1","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042580",,,,770,"39905","218",,,,
1088,IDJKT,JKT64,MRTU2216853,Ht08,"3a","29","1","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042640",,,,770,"39905","218",,,,
1089,IDJKT,JKT64,MAXU1390123,Ht08,"3a","29","1","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781042880",,,,770,"39905","218",,,,
1090,IDJKT,JKT64,TXGU8957471,HT16,"2A","14","6","1","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1781051640",,,,770,"39935","218",,,,
1091,IDJKT,JKT64,HPCU4315819,HT14,"2A","14","6","2","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1781051820",,,,770,"39935","218",,,,
1092,IDJKT,JKT64,HPCU4316158,HT15,"2A","14","6","3","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1781051880",,,,770,"39935","218",,,,
1093,IDJKT,JKT64,TXGU8956304,HT10,"2A","14","6","4","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1781051940",,,,770,"39935","218",,,,
1094,IDJKT,JKT64,TIIU5844930,HT14,"1A","2","4","1","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1781055600",,,,770,"39935","218",,,,
1095,IDJKT,JKT64,MRTU9630607,HT19,"1A","2","4","2","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1781055720",,,,770,"39935","218",,,,
1096,IDJKT,JKT64,MRTU2200306,Ht29,"3a","41","1","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057460",,,,770,"39986","218",,,,
1097,IDJKT,JKT64,MRTU2224714,Ht29,"3a","41","1","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057520",,,,770,"39986","218",,,,
1098,IDJKT,JKT64,MRTU2126322,Ht05,"3a","41","1","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057580",,,,770,"39986","218",,,,
1099,IDJKT,JKT64,MRTU2028964,Ht05,"3a","41","1","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057640",,,,770,"39986","218",,,,
1100,IDJKT,JKT64,MRTU9641432,Ht15,"3a","40","1",,"40",HC,,,,,,,,,F,,,,,,,,,,,,,"1781057640",,,,770,"39986","218",,,,
1101,IDJKT,JKT64,TXGU8955838,Ht16,"3a","40","1","2","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1781057700",,,,770,"39986","218",,,,
1102,IDJKT,JKT64,TXGU8954615,Ht12,"3a","40","1","3","40",HC,,,,,,,,,F,,,,,,,,,,,,,"1781057760",,,,770,"39986","218",,,,
1103,IDJKT,JKT64,MRTU2250729,Ht13,"3a","41","4","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057820",,,,770,"39986","218",,,,
1104,IDJKT,JKT64,MRTU2187631,Ht13,"3a","41","3","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057880",,,,770,"39986","218",,,,
1105,IDJKT,JKT64,MRTU2205904,Ht11,"3a","41","3","5","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057940",,,,770,"39986","218",,,,
1106,IDJKT,JKT64,MRTU2202850,Ht11,"3a","42","5","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781058000",,,,770,"39986","218",,,,
1109,IDJKT,JKT64,MRTU2184381,Ht19,"3a","38","5","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781067120",,,,770,"39986","218",,,,
1110,IDJKT,JKT64,MRTU2194604,Ht19,"3a","37","1","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781067180",,,,770,"39986","218",,,,
1111,IDJKT,JKT64,MRTU2182820,Ht03,"1b","7","1","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781050680",,,,770,"39994","218",,,,
1112,IDJKT,JKT64,MRTU2124490,Ht03,"1b","7","1","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781050740",,,,770,"39994","218",,,,
1113,IDJKT,JKT64,MRTU2123771,Ht07,"1b","8","1","5","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051040",,,,770,"39994","218",,,,
1114,IDJKT,JKT64,MRTU2264825,Ht07,"1b","8","2","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051100",,,,770,"39994","218",,,,
1115,IDJKT,JKT64,MRTU2154509,Ht06,"1b","7","1","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051160",,,,770,"39994","218",,,,
1116,IDJKT,JKT64,MRTU2244428,Ht06,"1b","7","1","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051400",,,,770,"39994","218",,,,
1117,IDJKT,JKT64,FCIU6084272,Ht04,"1b","8","1","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051640",,,,770,"39994","218",,,,
1118,IDJKT,JKT64,FCIU6088107,Ht04,"1b","8","1","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051640",,,,770,"39994","218",,,,
1119,IDJKT,JKT64,MRTU2178959,Ht09,"1b","8","1","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051700",,,,770,"39994","218",,,,
1120,IDJKT,JKT64,MRTU2190044,Ht09,"1b","8","1","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051760",,,,770,"39994","218",,,,
1121,IDJKT,JKT64,MRTU2173284,Ht03,"1b","8","1","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781052240",,,,770,"39994","218",,,,
1122,IDJKT,JKT64,MRTU2194055,Ht03,"1b","8","1","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781052240",,,,770,"39994","218",,,,
1123,IDJKT,JKT64,MRTU2234815,Ht06,"1b","8","1","5","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781052420",,,,770,"39994","218",,,,
1124,IDJKT,JKT64,MRTU2169751,Ht06,"1b","8","2","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781052480",,,,770,"39994","218",,,,
1125,IDJKT,JKT64,MRTU2208380,Ht07,"1b","7","5","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781053620",,,,770,"39994","218",,,,
1126,IDJKT,JKT64,MRTU2143633,Ht07,"1b","7","5","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781053680",,,,770,"39994","218",,,,
1127,IDJKT,JKT64,MRTU2316596,Ht03,"1b","18","2","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781055420",,,,770,"39994","218",,,,
1128,IDJKT,JKT64,MRTU2241012,Ht03,"1b","18","2","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781055480",,,,770,"39994","218",,,,
1129,IDJKT,JKT64,MRTU2252043,Ht04,"1b","18","5","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781055660",,,,770,"39994","218",,,,
1130,IDJKT,JKT64,SEKU1619626,Ht04,"1b","18","5","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781055720",,,,770,"39994","218",,,,
1131,IDJKT,JKT64,MRTU2135788,Ht08,"1b","18","3","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781056260",,,,770,"39994","218",,,,
1132,IDJKT,JKT64,MRTU2091530,Ht08,"1b","18","3","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781056500",,,,770,"39994","218",,,,
1133,IDJKT,JKT64,MRTU2301739,Ht16,"1b","16","6","1","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781056920",,,,770,"39994","218",,,,
1134,IDJKT,JKT64,MRTU2234538,Ht16,"1b","16","6","2","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781056980",,,,770,"39994","218",,,,
1135,IDJKT,JKT64,HPCU2226482,Ht05,"1b","16","5","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057040",,,,770,"39994","218",,,,
1136,IDJKT,JKT64,MRTU2255680,Ht05,"1b","16","5","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057100",,,,770,"39994","218",,,,
1137,IDJKT,JKT64,MRTU2155655,Ht06,"1b","18","3","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057220",,,,770,"39994","218",,,,
1138,IDJKT,JKT64,MRTU2159115,Ht06,"1b","18","3","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057220",,,,770,"39994","218",,,,
1139,IDJKT,JKT64,MRTU2292513,Ht07,"1b","16","3","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057280",,,,770,"39994","218",,,,
1140,IDJKT,JKT64,MRTU2072993,Ht07,"1b","16","3","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057340",,,,770,"39994","218",,,,
1141,IDJKT,JKT64,MRTU2167846,Ht03,"1b","16","6","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057640",,,,770,"39994","218",,,,
1142,IDJKT,JKT64,CZZU1658512,Ht03,"1b","16","6","4","20",GP,,,,,,,,,F,,,,,,,,,,,,,"1781057700",,,,770,"39994","218",,,,
1143,IDJKT,JKT64,FCIU6077653,Ht10,"1b","18","5","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057760",,,,770,"39994","218",,,,
1144,IDJKT,JKT64,FCIU6085010,Ht10,"1b","18","5","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781057760",,,,770,"39994","218",,,,
1145,IDJKT,JKT74,CRXU3293699,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781050320",,,,770,"39938","219",,,,
1146,IDJKT,JKT74,FCIU6081036,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781050320",,,,770,"39938","219",,,,
1147,IDJKT,JKT74,MRTU2034400,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781050440",,,,770,"39938","219",,,,
1148,IDJKT,JKT74,MRTU2118230,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781050500",,,,770,"39938","219",,,,
1149,IDJKT,JKT74,GESU3395594,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781050620",,,,770,"39938","219",,,,
1150,IDJKT,JKT74,MRTU2239273,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781050620",,,,770,"39938","219",,,,
1151,IDJKT,JKT74,MRTU2156749,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781050740",,,,770,"39938","219",,,,
1152,IDJKT,JKT74,MRTU2189758,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781050800",,,,770,"39938","219",,,,
1153,IDJKT,JKT74,MRTU2236850,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781050920",,,,770,"39938","219",,,,
1154,IDJKT,JKT74,MRTU2204847,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781050920",,,,770,"39938","219",,,,
1155,IDJKT,JKT74,MRLU2354370,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051040",,,,770,"39938","219",,,,
1156,IDJKT,JKT74,MRTU2305523,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051040",,,,770,"39938","219",,,,
1157,IDJKT,JKT74,MRTU2196490,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051160",,,,770,"39938","219",,,,
1158,IDJKT,JKT74,MRTU2049400,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051160",,,,770,"39938","219",,,,
1159,IDJKT,JKT74,MRLU2376317,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051220",,,,770,"39938","219",,,,
1160,IDJKT,JKT74,MRTU2151520,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051280",,,,770,"39938","219",,,,
1161,IDJKT,JKT74,MRTU2049247,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051460",,,,770,"39938","219",,,,
1162,IDJKT,JKT74,MRTU2037415,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051460",,,,770,"39938","219",,,,
1163,IDJKT,JKT74,MRLU2354046,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781051940",,,,770,"39938","219",,,,
1164,IDJKT,JKT74,MRTU2069264,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781052000",,,,770,"39938","219",,,,
1165,IDJKT,JKT74,MRTU2066199,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781052060",,,,770,"39938","219",,,,
1166,IDJKT,JKT74,MRTU2115210,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781052060",,,,770,"39938","219",,,,
1167,IDJKT,JKT74,MRTU2199484,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781052180",,,,770,"39938","219",,,,
1168,IDJKT,JKT74,MRLU2376750,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781052240",,,,770,"39938","219",,,,
1169,IDJKT,JKT74,MRLU2385828,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781052360",,,,770,"39938","219",,,,
1170,IDJKT,JKT74,MRTU2044097,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781052420",,,,770,"39938","219",,,,
1171,IDJKT,JKT74,MRTU2007112,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781052780",,,,770,"39938","219",,,,
1172,IDJKT,JKT74,MRLU2384884,,,,,,"20",GP,,,,,,,,,E,,,,,,,,,,,,,"1781052780",,,,770,"39938","219",,,,
1208,IDJKT,JKT64,MRTU2083766,Ht14,"1b","8","6","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 11:20",,,,770,"40121",Cy218,,,,
1209,IDJKT,JKT64,TEGU7159988,Ht14,"1b","8","6","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 11:21",,,,770,"40121",Cy218,,,,
1210,IDJKT,JKT64,HPCU4456252,Ht13,"1b","4","2","1","40",HC,,,,,,,,,F,,,,,,,,,,,,,"11-06-2026 11:21",,,,770,"40121",Cy218,,,,
1211,IDJKT,JKT64,HPCU4313591,Ht14,"1b","4","2","2","40",HC,,,,,,,,,F,,,,,,,,,,,,,"11-06-2026 11:22",,,,770,"40121",Cy218,,,,
1212,IDJKT,JKT64,MRTU9649290,Ht13,"1b","4","2","3","40",HC,,,,,,,,,F,,,,,,,,,,,,,"11-06-2026 11:23",,,,770,"40121",Cy218,,,,
1213,IDJKT,JKT64,HPCU4316287,Ht21,"1b","4","2","4","40",HC,,,,,,,,,F,,,,,,,,,,,,,"11-06-2026 11:23",,,,770,"40121",Cy218,,,,
1214,IDJKT,JKT64,MRTU2109773,Ht11,"1b","9","6","1","20",GP,,,,,,,,,F,,,,,,,,,,,,,"11-06-2026 12:05",,,,770,"40121",Cy218,,,,
1215,IDJKT,JKT64,MRTU2132433,Ht11,"1b","8","6","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 12:07",,,,770,"40121",Cy218,,,,
1216,IDJKT,JKT64,TEGU3096053,Ht12,"1b","8","6","4","20",GP,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 12:09",,,,770,"40121",Cy218,,,,
1217,IDJKT,JKT64,MRLU2304641,Ht12,"1b","8","5","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 12:12",,,,770,"40121",Cy218,,,,
1218,IDJKT,JKT64,MRTU2255335,Ht20,"1b","8","5","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 12:13",,,,770,"40121",Cy218,,,,
1219,IDJKT,JKT64,IKSU2598028,Ht20,"1b","8","5","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 12:14",,,,770,"40121",Cy218,,,,
1220,IDJKT,JKT64,MRTU2053170,Ht12,"1b","9","6","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 12:15",,,,770,"40121",Cy218,,,,
1221,IDJKT,JKT64,MRTU2144630,Ht12,"1b","9","6","3","20",GP,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 12:16",,,,770,"40121",Cy218,,,,
1222,IDJKT,JKT64,MRTU2174450,Ht20,"1b","7","6","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 12:17",,,,770,"40121",Cy218,,,,
1223,IDJKT,JKT64,CRXU3003819,Ht20,"1b","7","6","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 12:18",,,,770,"40121",Cy218,,,,
1224,IDJKT,JKT64,TXGU8914612,Ht03,"1b","6","2","2","40",HC,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 12:20",,,,770,"40121",Cy218,,,,
1225,IDJKT,JKT64,PSKU2571115,Ht28,"1b","9","6","4","20",TN,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 12:22",,,,770,"40121",Cy218,,,,
1226,IDJKT,JKT64,TEGU2912445,Ht28,"1b","9","6","5","20",GP,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 12:26",,,,770,"40121",Cy218,,,,
1227,IDJKT,JKT64,MRTU2083766,Ht14,"1b","8","6","1","20",GP,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 11:20",,,,770,"40121",Cy218,,,,
1228,IDJKT,JKT64,TEGU7159988,Ht14,"1b","8","6","2","20",GP,,,,,,,,,E,,,,,,,,,,,,,"11-06-2026 11:21",,,,770,"40121",Cy218,,,,
1229,IDJKT,JKT64,HPCU4456252,Ht13,"1b","4","2","1","40",HC,,,,,,,,,F,,,,,,,,,,,,,"11-06-2026 11:21",,,,770,"40121",Cy218,,,,
1230,IDJKT,JKT64,HPCU4313591,Ht14,"1b","4","2","2","40",HC,,,,,,,,,F,,,,,,,,,,,,,"11-06-2026 11:22",,,,770,"40121",Cy218,,,,
